"era","stent","HR","CI_lower","CI_upper","P_value"
"2010-2013","BioMatrix",0.87,0.47,1.61,0.654
"2010-2013","Nobori",0.68,0.39,1.19,0.18
"2010-2013","PROMUS (all)",0.54,0.28,1.07,0.077
"2010-2013","Resolute (all)",0.95,0.5,1.77,0.862
"2014-2016","BioMatrix",2.4,0.95,6.09,0.065
"2014-2016","Nobori",0.87,0.32,2.37,0.791
"2014-2016","Orsiro",2.02,1.15,3.55,0.015
"2014-2016","Promus PREMIER",0.73,0.22,2.51,0.622
"2014-2016","Resolute (all)",1.48,0.75,2.93,0.261
"2014-2016","SYNERGY",1.46,0.65,3.29,0.355
"2017-2021","DESyne",0.78,0.39,1.59,0.502
"2017-2021","DESyne X2",0.55,0.24,1.26,0.158
"2017-2021","Firehawk",0.15,0.02,1.16,0.069
"2017-2021","GENOSS DES",0.91,0.39,2.12,0.834
"2017-2021","Orsiro",0.95,0.43,2.06,0.887
"2017-2021","Resolute (all)",0.84,0.47,1.53,0.575
"2017-2021","SYNERGY",0.9,0.48,1.68,0.734
