"stent","HR_uni","CI_lower_uni","CI_upper_uni","HR_CI_uni","P_uni","HR_adj","CI_lower_adj","CI_upper_adj","HR_CI_adj","P_adj","category","N","Events"
"Orsiro",1.29,0.88,1.89,"1.29 (0.88-1.89)",0.1978,1.22,0.83,1.79,"1.22 (0.83-1.79)",0.3172,"BP-DES",415,51
"Nobori",1.02,0.68,1.53,"1.02 (0.68-1.53)",0.9409,0.96,0.64,1.45,"0.96 (0.64-1.45)",0.8394,"BP-DES",393,41
"SYNERGY",0.89,0.57,1.38,"0.89 (0.57-1.38)",0.5951,0.93,0.6,1.46,"0.93 (0.60-1.46)",0.7666,"BP-DES",374,32
"BioMatrix",1.45,0.92,2.29,"1.45 (0.92-2.29)",0.1113,1.51,0.95,2.41,"1.51 (0.95-2.41)",0.0814,"BP-DES",197,28
"DESyne X2",0.56,0.27,1.18,"0.56 (0.27-1.18)",0.1258,0.57,0.27,1.21,"0.57 (0.27-1.21)",0.1453,"BP-DES",180,8
"GENOSS DES",0.92,0.48,1.75,"0.92 (0.48-1.75)",0.7888,0.87,0.45,1.68,"0.87 (0.45-1.68)",0.6755,"BP-DES",125,11
"Resolute (all)",1,0.7,1.43,"1.00 (0.70-1.43)",0.9988,1.07,0.75,1.54,"1.07 (0.75-1.54)",0.7009,"DP-DES",711,67
"XIENCE (all)",1,NA,NA,"1.00 (Reference)",NA,1,NA,NA,"1.00 (Reference)",NA,"DP-DES",537,53
"DESyne",0.83,0.49,1.41,"0.83 (0.49-1.41)",0.4907,0.85,0.49,1.47,"0.85 (0.49-1.47)",0.5619,"DP-DES",227,18
"PROMUS (all)",0.89,0.51,1.53,"0.89 (0.51-1.53)",0.665,0.89,0.51,1.53,"0.89 (0.51-1.53)",0.6683,"DP-DES",196,17
"Firehawk",0.16,0.02,1.12,"0.16 (0.02-1.12)",0.0653,0.18,0.02,1.29,"0.18 (0.02-1.29)",0.087,"DP-DES",77,1
"Promus PREMIER",0.53,0.17,1.7,"0.53 (0.17-1.70)",0.2885,0.58,0.18,1.85,"0.58 (0.18-1.85)",0.3561,"DP-DES",55,3
